Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Meerssen;0938;2525;2083;2273;1534;1436;909;525;71;613;347;14;262;8;29;29;20;19;3;;3;10;5;3;;1;;;;;
Mook en Middelaar;0944;1324;642;547;879;602;580;328;57;112;217;4;64;3;17;9;10;8;1;;4;3;0;2;;1;;;;;
Nederweert;0946;2494;2317;1844;1023;1205;501;355;46;498;203;14;185;2;46;33;23;15;0;;5;5;7;0;;2;;;;;
Nuth;0951;1976;1836;1874;958;1301;646;411;41;511;310;14;231;5;34;21;8;10;3;;11;3;4;7;;5;;;;;
Onderbanken;0881;785;733;1265;418;796;319;152;27;245;156;9;103;8;26;9;21;8;1;;5;4;2;1;;1;;;;;
Peel en Maas;1894;6045;6327;4471;2525;2839;1291;821;98;1203;486;41;490;143;122;59;98;48;6;;20;10;14;7;;5;;;;;
Roerdalen;1669;2341;2135;3044;1148;1471;682;471;69;742;364;16;284;27;55;24;14;24;0;;13;7;4;3;;2;;;;;
Roermond;0957;6169;3907;6169;3596;3753;2595;1325;227;1333;1069;27;902;1384;133;83;50;45;29;;33;34;30;11;;14;;;;;
Schinnen;0962;1548;1576;1441;1000;1132;591;341;69;443;306;20;170;7;32;21;14;4;2;;6;8;8;1;;1;;;;;
Simpelveld;0965;1059;1154;1510;582;991;383;300;27;316;186;7;95;3;10;17;5;15;1;;2;4;3;3;;0;;;;;
Sittard-Geleen;1883;8944;8609;12115;6130;7525;4576;2450;388;2745;1993;42;1141;570;188;156;68;84;21;;41;27;36;15;;9;;;;;
Stein;0971;2749;2348;3784;1484;2433;1010;573;80;1000;513;24;342;36;67;45;28;45;6;;17;9;7;4;;6;;;;;
Vaals;0981;783;711;989;376;662;315;257;30;242;174;4;100;4;9;12;4;2;1;;2;3;0;1;;4;;;;;
Valkenburg aan de Geul;0994;2294;1843;2012;1243;1156;762;448;86;533;356;12;253;14;29;22;10;8;3;;5;4;6;2;;0;;;;;
Venlo;0983;11199;7367;11672;5777;7004;4138;2285;330;2687;1456;68;1240;1936;162;149;76;60;22;;39;24;34;22;;5;;;;;
Venray;0984;5798;4741;3358;2944;4265;1583;1035;175;833;431;45;386;506;93;52;21;43;12;;27;11;12;9;;0;;;;;
Voerendaal;0986;1635;1473;1428;1007;1115;533;388;60;395;245;5;133;15;15;11;22;10;3;;4;6;4;2;;0;;;;;
Weert;0988;6651;4493;5395;3389;3651;1765;1135;208;1452;691;34;708;735;131;79;63;39;9;;31;13;14;17;;3;;;;;
Bonaire;9001;397;413;122;727;77;222;209;92;41;113;12;39;16;13;;6;4;38;;;;;;;;;;;;
Saba;9003;13;40;11;115;100;62;25;4;2;2;0;4;0;2;;1;1;1;;;;;;;;;;;;
Sint Eustatius;9002;6;338;8;27;8;15;5;4;2;3;0;2;0;0;;0;0;14;;;;;;;;;;;;
