Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Kampen;0166;4543;6505;3769;2084;2626;1934;1373;4683;795;534;3630;475;378;82;83;31;15;13;13;17;9;6;8;;;;;;;
Losser;0168;2900;3696;2338;1497;1436;668;583;136;508;213;15;228;44;38;29;9;17;2;16;6;3;3;0;;;;;;;
Oldenzaal;0173;4777;4277;2525;2680;2186;1350;980;165;529;351;28;333;335;74;52;20;14;4;10;6;5;11;1;;;;;;;
Olst-Wijhe;1773;2539;2421;1113;1376;1089;937;990;267;403;321;70;115;58;48;27;17;15;4;8;7;4;8;3;;;;;;;
Ommen;0175;2082;3739;936;1006;726;488;475;1289;275;169;209;161;3;35;23;9;9;3;5;2;6;6;4;;;;;;;
Raalte;0177;5988;7112;1860;2861;1969;1444;1117;423;797;322;61;281;104;64;38;37;22;4;21;10;13;12;3;;;;;;;
Rijssen-Holten;1742;3646;5043;2316;1268;1149;688;810;2824;444;233;5899;303;153;63;28;23;22;2;13;12;12;3;5;;;;;;;
Staphorst;0180;1095;1893;906;309;280;212;222;1771;136;111;3659;136;0;20;12;8;4;1;5;5;4;4;2;;;;;;;
Steenwijkerland;1708;5924;5441;3455;2504;2620;1628;2028;1958;914;653;349;417;132;81;61;34;40;12;23;22;19;17;2;;;;;;;
Tubbergen;0183;3222;5749;1599;973;748;374;314;75;285;119;38;185;1;48;16;7;11;1;6;3;2;3;5;;;;;;;
Twenterand;1700;2966;6200;3287;1065;2018;589;712;2003;573;214;977;242;5;62;57;10;26;1;18;7;6;10;4;;;;;;;
Wierden;0189;3750;4853;1808;1222;945;600;508;1264;306;158;630;216;18;41;18;12;15;0;15;5;4;7;0;;;;;;;
Zwartewaterland;1896;1791;2742;1363;589;779;375;511;2334;258;145;2952;169;3;31;20;7;6;0;6;8;1;6;1;;;;;;;
Zwolle;0193;14074;9060;6379;11912;6967;9374;5700;8334;1897;2727;798;1121;966;198;330;85;78;69;43;62;44;37;35;;;;;;;
Almere;0034;22822;7151;17134;13311;9527;10890;6535;2859;5029;4251;274;2522;3120;657;668;256;179;2132;118;109;80;70;39;113;20;;;;;
Dronten;0303;6477;4515;2957;2243;1851;1617;1044;1754;793;569;383;523;282;114;81;49;53;5;10;10;12;6;11;16;7;;;;;
Lelystad;0995;8493;3825;7671;4147;4143;3796;2564;1590;1975;1670;333;921;1308;230;216;90;64;227;49;45;24;31;14;45;11;;;;;
Noordoostpolder;0171;6283;5647;3238;2184;2357;1346;1280;2261;713;523;1221;494;203;108;66;39;38;15;26;20;27;19;8;52;3;;;;;
Urk;0184;210;1680;1304;58;78;29;19;1376;55;22;6635;199;9;21;22;3;4;0;1;4;1;2;0;77;1;;;;;
Zeewolde;0050;3713;1922;1743;1300;787;760;431;1158;365;364;226;326;49;72;48;15;27;7;8;6;6;3;5;19;1;;;;;
Berg en Dal;1945;4717;3009;3567;2630;3487;2398;1361;180;746;844;38;309;37;59;61;16;28;15;14;11;11;6;6;5;4;;2;;;
Beuningen;0209;4201;2107;2461;2010;2094;1293;814;146;628;345;23;263;50;71;44;21;23;9;13;8;6;5;4;4;1;;1;;;
Buren;0214;4801;2077;3020;1567;1096;780;913;465;569;406;886;356;12;66;20;23;30;3;7;0;3;5;2;6;1;;1;;;
Culemborg;0216;3673;1682;2316;2299;1269;2201;1149;504;488;657;175;271;770;55;52;23;14;28;13;11;21;4;5;15;2;;1;;;
Druten;0225;3024;1525;1674;1442;1565;777;582;69;445;249;20;200;208;45;26;16;16;7;12;5;5;3;0;5;2;;1;;;
Geldermalsen;0236;4408;2308;2860;1505;969;917;731;435;555;337;1745;363;57;69;44;13;15;4;6;5;0;8;2;5;1;;2;;;
Heumen;0252;2708;1659;1064;1721;1224;1153;667;128;252;326;9;125;15;16;35;5;8;0;6;3;10;2;3;3;0;;0;;;
Lingewaal;0733;1659;1241;1204;543;412;341;416;539;185;155;400;128;24;23;14;11;2;3;1;1;4;2;1;11;1;;0;;;
Maasdriel;0263;3947;2852;3197;1148;1346;668;509;199;498;290;295;293;40;52;40;13;18;1;6;7;1;5;6;4;1;;1;;;
Neder-Betuwe;1740;2144;1582;2033;673;759;404;689;677;384;183;4618;188;53;41;20;12;22;1;3;4;7;3;2;17;0;;0;;;
Neerijnen;0304;1775;1134;1349;562;456;326;373;273;218;163;944;125;12;25;18;10;12;3;3;5;1;2;0;2;0;;0;;;
Nijmegen;0268;15952;7384;10613;21666;12451;22391;7004;1432;2018;5219;152;1377;2152;203;468;111;80;192;58;82;97;45;38;45;19;;8;;;
Tiel;0281;5488;2319;4179;2479;2091;1982;1468;509;903;681;201;550;1084;104;73;73;25;14;24;12;20;18;10;20;0;;0;;;
West Maas en Waal;0668;3545;1893;1931;1158;1718;671;495;69;466;272;18;196;5;57;28;27;19;3;9;4;4;4;4;6;1;;1;;;
Wijchen;0296;6737;3592;3770;3340;3315;1892;1337;236;891;638;35;360;115;85;62;34;51;11;22;22;7;9;1;3;2;;1;;;
Zaltbommel;0297;3489;2213;1957;1525;1189;974;776;1226;399;358;2520;287;160;49;37;23;12;6;8;6;6;1;4;7;0;;3;;;
Aalten;0197;3324;4255;1657;1707;2217;1137;793;814;506;311;117;183;107;44;33;18;36;4;15;9;10;2;4;7;2;5;0;;;
Apeldoorn;0200;22460;12862;11773;12410;8364;8902;5995;4938;3307;3063;3308;1691;2010;360;311;107;108;42;65;60;60;54;21;63;19;56;5;;;
Arnhem;0202;15398;6093;10622;14765;9036;13047;5784;2180;2087;4658;221;1369;3268;237;424;108;90;224;50;68;54;34;46;69;23;59;4;;;
Barneveld;0203;6384;6880;3557;1728;1159;973;698;4232;729;402;8136;481;373;105;57;32;37;10;16;10;22;9;5;34;8;8;0;;;
Berkelland;1859;6702;6099;2995;3408;3834;1973;2017;419;782;575;80;382;69;118;54;24;64;12;33;15;9;4;10;2;2;17;2;;;
Bronckhorst;1876;6323;5227;2253;2850;2272;1486;1467;512;734;592;225;326;25;80;36;28;44;10;17;6;14;3;6;13;5;12;2;;;
Brummen;0213;3199;1712;1669;1671;1506;1152;1073;246;487;406;57;214;267;55;34;16;19;2;12;8;8;7;2;2;1;8;0;;;
Doesburg;0221;1354;824;1054;877;1078;629;486;152;237;248;21;103;271;17;14;6;3;2;8;2;5;4;4;2;2;6;0;;;
Doetinchem;0222;7576;4976;4485;4517;4459;2881;2291;815;1018;869;356;464;508;101;107;66;67;8;22;19;6;8;9;15;2;13;2;;;
